Date,Open,High,Low,Close,Adj Close,Volume
2022-09-07,5.570000,5.700000,5.500000,5.690000,5.690000,5852300
2022-09-08,5.640000,5.820000,5.580000,5.790000,5.790000,4036600
2022-09-09,5.880000,6.090000,5.880000,6.020000,6.020000,4197800
2022-09-12,6.070000,6.210000,6.070000,6.200000,6.200000,3683200
2022-09-13,5.900000,5.990000,5.830000,5.930000,5.930000,6715400
2022-09-14,5.940000,6.050000,5.830000,5.960000,5.960000,7881800
2022-09-15,5.900000,6.100000,5.890000,6.050000,6.050000,7950900
2022-09-16,5.920000,5.920000,5.660000,5.720000,5.720000,5644400
2022-09-19,5.620000,5.770000,5.560000,5.740000,5.740000,6396900
2022-09-20,5.690000,5.700000,5.560000,5.580000,5.580000,2836400
2022-09-21,5.580000,5.660000,5.450000,5.450000,5.450000,5727200
2022-09-22,5.450000,5.470000,5.240000,5.240000,5.240000,4112400
2022-09-23,5.140000,5.210000,5.000000,5.070000,5.070000,7571200
2022-09-26,5.030000,5.230000,4.970000,4.970000,4.970000,8010200
2022-09-27,5.050000,5.170000,4.970000,5.090000,5.090000,7366700
2022-09-28,4.940000,5.120000,4.810000,4.990000,4.990000,7009600
2022-09-29,4.950000,4.990000,4.680000,4.800000,4.800000,9233300
2022-09-30,4.770000,4.880000,4.700000,4.700000,4.700000,5013900
2022-10-03,4.760000,4.840000,4.670000,4.810000,4.810000,7211800
2022-10-04,4.930000,5.050000,4.910000,4.990000,4.990000,5627300
2022-10-05,4.900000,4.940000,4.760000,4.910000,4.910000,5164500
2022-10-06,4.870000,4.930000,4.750000,4.810000,4.810000,4496600
2022-10-07,4.730000,4.750000,4.550000,4.580000,4.580000,7060800
2022-10-10,4.560000,4.570000,4.330000,4.430000,4.430000,7411200
2022-10-11,4.380000,4.410000,4.140000,4.180000,4.180000,8606600
2022-10-12,4.160000,4.250000,4.110000,4.200000,4.200000,9178700
2022-10-13,4.020000,4.310000,3.940000,4.200000,4.200000,10076800
2022-10-14,4.230000,4.250000,3.950000,3.980000,3.980000,17027600
2022-10-17,4.090000,4.400000,4.090000,4.300000,4.300000,10098500
2022-10-18,4.460000,4.550000,4.350000,4.380000,4.380000,5139800
2022-10-19,4.320000,4.370000,4.220000,4.220000,4.220000,3376400
2022-10-20,4.230000,4.470000,4.200000,4.340000,4.340000,4368200
2022-10-21,4.340000,4.440000,4.280000,4.400000,4.400000,6645300
2022-10-24,4.400000,4.430000,4.290000,4.420000,4.420000,4645600
2022-10-25,4.420000,4.620000,4.410000,4.570000,4.570000,3592800
2022-10-26,4.500000,4.610000,4.460000,4.530000,4.530000,4139100
2022-10-27,4.550000,4.620000,4.500000,4.530000,4.530000,3079700
2022-10-28,4.500000,4.640000,4.480000,4.630000,4.630000,3878200
2022-10-31,4.600000,4.710000,4.570000,4.660000,4.660000,3332000
2022-11-01,4.750000,4.790000,4.620000,4.660000,4.660000,3565000
2022-11-02,4.660000,4.660000,4.390000,4.410000,4.410000,4300400
2022-11-03,4.360000,4.410000,4.260000,4.270000,4.270000,3986700
2022-11-04,4.360000,4.410000,4.190000,4.410000,4.410000,5946300
2022-11-07,4.410000,4.790000,4.360000,4.750000,4.750000,8414900
2022-11-08,4.750000,4.870000,4.660000,4.770000,4.770000,7801100
2022-11-09,4.730000,4.740000,4.570000,4.650000,4.650000,5876100
2022-11-10,4.880000,5.010000,4.830000,4.920000,4.920000,7342200
2022-11-11,4.950000,5.140000,4.850000,4.970000,4.970000,29496800
2022-11-14,4.940000,4.970000,4.750000,4.770000,4.770000,5871900
2022-11-15,4.870000,5.010000,4.840000,4.840000,4.840000,6942300
2022-11-16,4.810000,4.830000,4.730000,4.790000,4.790000,4026800
2022-11-17,4.680000,4.750000,4.610000,4.730000,4.730000,3468900
2022-11-18,4.820000,4.820000,4.700000,4.760000,4.760000,4086600
2022-11-21,4.720000,4.730000,4.520000,4.590000,4.590000,4455000
2022-11-22,4.620000,4.700000,4.530000,4.650000,4.650000,2622800
2022-11-23,4.640000,4.880000,4.590000,4.810000,4.810000,3731800
2022-11-25,4.810000,4.890000,4.760000,4.840000,4.840000,1531000
2022-11-28,4.800000,4.880000,4.760000,4.800000,4.800000,4980100
2022-11-29,4.810000,4.880000,4.700000,4.840000,4.840000,4389600
2022-11-30,4.820000,4.890000,4.640000,4.870000,4.870000,11391000
2022-12-01,4.880000,5.140000,4.880000,5.080000,5.080000,8192200
2022-12-02,4.990000,5.280000,4.960000,5.200000,5.200000,5928700
2022-12-05,5.170000,5.190000,4.820000,4.840000,4.840000,4597400
2022-12-06,4.840000,4.850000,4.550000,4.580000,4.580000,5868400
2022-12-07,4.580000,4.590000,4.370000,4.370000,4.370000,5059800
2022-12-08,4.420000,4.560000,4.360000,4.400000,4.400000,5427600
2022-12-09,4.380000,4.430000,4.350000,4.400000,4.400000,3651700
2022-12-12,4.380000,4.470000,4.350000,4.410000,4.410000,3290200
2022-12-13,4.600000,4.720000,4.430000,4.430000,4.430000,5928900
2022-12-14,4.430000,4.520000,4.350000,4.390000,4.390000,6101700
2022-12-15,4.330000,4.330000,4.220000,4.260000,4.260000,9393200
2022-12-16,4.220000,4.260000,4.170000,4.220000,4.220000,6318700
2022-12-19,4.200000,4.220000,4.020000,4.110000,4.110000,8847600
2022-12-20,4.100000,4.230000,4.070000,4.150000,4.150000,7513300
2022-12-21,3.980000,4.050000,3.640000,3.750000,3.750000,23819300
2022-12-22,3.690000,3.690000,3.370000,3.430000,3.430000,11914700
2022-12-23,3.420000,3.430000,3.320000,3.400000,3.400000,10407900
2022-12-27,3.370000,3.410000,3.270000,3.290000,3.290000,9346700
2022-12-28,3.330000,3.340000,3.170000,3.180000,3.180000,7038900
2022-12-29,3.200000,3.290000,3.190000,3.260000,3.260000,7616400
2022-12-30,3.220000,3.260000,3.180000,3.260000,3.260000,7189400
2023-01-03,3.350000,3.510000,3.270000,3.310000,3.310000,9370900
2023-01-04,3.370000,3.710000,3.340000,3.620000,3.620000,13007800
2023-01-05,3.640000,3.640000,3.470000,3.520000,3.520000,7880600
2023-01-06,3.550000,3.580000,3.420000,3.520000,3.520000,7190300
2023-01-09,3.560000,3.630000,3.460000,3.460000,3.460000,7223200
2023-01-10,3.500000,3.660000,3.480000,3.640000,3.640000,5468200
2023-01-11,3.670000,3.730000,3.630000,3.710000,3.710000,3851300
2023-01-12,3.730000,3.840000,3.610000,3.820000,3.820000,6386500
2023-01-13,3.750000,3.870000,3.740000,3.810000,3.810000,5314100
2023-01-17,3.960000,4.130000,3.900000,4.080000,4.080000,10111100
2023-01-18,4.110000,4.350000,4.070000,4.160000,4.160000,10420400
2023-01-19,4.130000,4.180000,4.030000,4.120000,4.120000,8773000
2023-01-20,4.140000,4.220000,4.080000,4.170000,4.170000,7464700
2023-01-23,4.180000,4.290000,4.120000,4.260000,4.260000,4313900
2023-01-24,4.270000,4.320000,4.200000,4.270000,4.270000,4571200
2023-01-25,4.200000,4.240000,4.110000,4.200000,4.200000,5579800
2023-01-26,4.270000,4.320000,4.170000,4.220000,4.220000,5600100
2023-01-27,4.190000,4.410000,4.180000,4.370000,4.370000,6439100
2023-01-30,4.290000,4.350000,4.180000,4.220000,4.220000,9472500
2023-01-31,4.230000,4.290000,4.220000,4.250000,4.250000,8157100
2023-02-01,4.260000,4.530000,4.240000,4.490000,4.490000,8567200
2023-02-02,4.650000,4.780000,4.540000,4.580000,4.580000,10282800
2023-02-03,4.440000,4.610000,4.410000,4.460000,4.460000,8336100
2023-02-06,4.400000,4.530000,4.360000,4.410000,4.410000,9426200
2023-02-07,4.420000,4.460000,4.310000,4.440000,4.440000,6774200
2023-02-08,4.410000,4.490000,4.360000,4.370000,4.370000,5841900
2023-02-09,4.440000,4.490000,4.220000,4.220000,4.220000,5586300
2023-02-10,4.200000,4.220000,4.050000,4.110000,4.110000,5506900
2023-02-13,4.140000,4.210000,4.120000,4.180000,4.180000,3557800
2023-02-14,4.200000,4.270000,4.110000,4.240000,4.240000,3864100
2023-02-15,4.170000,4.370000,4.170000,4.370000,4.370000,4955400
2023-02-16,4.300000,4.350000,4.210000,4.260000,4.260000,4391600
2023-02-17,4.230000,4.250000,4.100000,4.150000,4.150000,4577400
2023-02-21,4.080000,4.110000,3.890000,3.900000,3.900000,5589300
2023-02-22,3.930000,3.970000,3.850000,3.870000,3.870000,5763800
2023-02-23,3.910000,3.950000,3.800000,3.860000,3.860000,4333500
2023-02-24,3.800000,3.810000,3.740000,3.800000,3.800000,3683300
2023-02-27,3.850000,3.930000,3.830000,3.880000,3.880000,5058200
2023-02-28,3.880000,3.920000,3.840000,3.880000,3.880000,3810500
2023-03-01,3.880000,3.930000,3.820000,3.830000,3.830000,2890800
2023-03-02,3.810000,3.960000,3.800000,3.950000,3.950000,3858300
2023-03-03,3.960000,4.140000,3.960000,4.120000,4.120000,4564900
2023-03-06,4.120000,4.210000,3.990000,3.990000,3.990000,4183500
2023-03-07,3.730000,3.740000,3.440000,3.500000,3.500000,16164500
2023-03-08,3.510000,3.660000,3.430000,3.620000,3.620000,7589600
2023-03-09,3.610000,3.710000,3.550000,3.660000,3.660000,10538000
2023-03-10,3.620000,3.670000,3.530000,3.590000,3.590000,13495800
2023-03-13,3.550000,3.650000,3.490000,3.580000,3.580000,5247200
2023-03-14,3.630000,3.760000,3.620000,3.720000,3.720000,5308800
2023-03-15,3.620000,3.700000,3.590000,3.700000,3.700000,5348200
2023-03-16,3.660000,3.740000,3.640000,3.690000,3.690000,4416600
2023-03-17,3.660000,3.730000,3.660000,3.720000,3.720000,6276000
2023-03-20,3.670000,3.710000,3.600000,3.610000,3.610000,3548600
2023-03-21,3.670000,3.820000,3.590000,3.770000,3.770000,5087600
2023-03-22,3.760000,3.800000,3.650000,3.670000,3.670000,4220800
2023-03-23,3.740000,3.850000,3.700000,3.830000,3.830000,5776800
2023-03-24,3.810000,3.900000,3.790000,3.840000,3.840000,4390300
2023-03-27,3.880000,3.920000,3.850000,3.910000,3.910000,4644400
2023-03-28,3.900000,3.910000,3.800000,3.830000,3.830000,5583600
2023-03-29,3.860000,4.000000,3.850000,3.980000,3.980000,5436600
2023-03-30,4.000000,4.070000,3.960000,4.000000,4.000000,8196600
2023-03-31,3.820000,4.700000,3.820000,4.560000,4.560000,20638700
2023-04-03,4.640000,4.690000,4.520000,4.530000,4.530000,10178400
2023-04-04,4.550000,4.650000,4.460000,4.640000,4.640000,6384700
2023-04-05,4.630000,4.670000,4.510000,4.520000,4.520000,3858300
2023-04-06,4.520000,4.560000,4.450000,4.550000,4.550000,4283600
2023-04-10,4.470000,4.540000,4.430000,4.530000,4.530000,3258600
2023-04-11,4.530000,4.580000,4.530000,4.570000,4.570000,3087100
2023-04-12,4.590000,4.640000,4.380000,4.380000,4.380000,5129600
2023-04-13,4.450000,4.570000,4.430000,4.490000,4.490000,2990400
2023-04-14,4.460000,4.520000,4.420000,4.510000,4.510000,2963600
2023-04-17,4.490000,4.510000,4.430000,4.470000,4.470000,4210600
2023-04-18,4.460000,4.540000,4.400000,4.400000,4.400000,3405000
2023-04-19,4.350000,4.380000,4.320000,4.330000,4.330000,2620200
2023-04-20,4.290000,4.290000,4.180000,4.210000,4.210000,3772800
2023-04-21,4.220000,4.250000,4.180000,4.230000,4.230000,3951400
2023-04-24,4.190000,4.220000,4.050000,4.080000,4.080000,3482100
2023-04-25,4.050000,4.050000,3.940000,3.970000,3.970000,3739800
2023-04-26,4.010000,4.060000,3.900000,3.970000,3.970000,3434600
2023-04-27,3.960000,4.000000,3.900000,3.940000,3.940000,3787800
2023-04-28,3.890000,3.940000,3.830000,3.910000,3.910000,3078600
